,add,latitude,longitude,nearest_sch_index,distance_to_nearest_sch,nearest_sch_lat,nearest_sch_lon,nearest_sch_name,nearest_mrt_index,distance_to_nearest_mrt,nearest_mrt_lat,nearest_mrt_lon,nearest_mrt_name,walk_time_to_school,walk_distance_to_school,walk_time_to_mrt,walk_distance_to_mrt,line
721,345 ANG MO KIO AVE 3,1.36748702509964,103.849651723914,2,1515.3781291184732,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,209.2032733283017,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1649.0,2290.0,210.0,292.0,NS
722,343 ANG MO KIO AVE 3,1.36837474759489,103.849151113749,2,1590.6929268858294,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,138.74227403695713,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1756.0,2439.0,217.0,301.0,NS
723,110 ANG MO KIO AVE 4,1.37045937010888,103.837419259859,3,486.25514487708375,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,168,192.6663573256777,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,646.0,897.0,193.0,268.0,TE
724,117 ANG MO KIO AVE 4,1.3737170825368,103.835610469339,3,153.2163988502828,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,168,225.97461772183945,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,251.0,348.0,272.0,378.0,TE
725,127 ANG MO KIO AVE 3,1.37122322102767,103.843593321222,3,1068.0821293046188,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,734.9600330283349,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1088.0,1511.0,684.0,950.0,NS
726,643 ANG MO KIO AVE 5,1.3775062692911,103.840557182306,3,831.7529669316364,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,39,679.3134052917536,1.3817560461130038,103.84494728975424,YIO CHU KANG MRT STATION,845.0,1174.0,774.0,1074.0,NS
727,542 ANG MO KIO AVE 10,1.37473841331656,103.855876768354,17,2135.872302268259,1.37289067499064,103.875001549174,ROSYTH SCHOOL,16,892.1427636550738,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,2181.0,3027.0,1039.0,1443.0,NS
728,548 ANG MO KIO AVE 10,1.37291376311161,103.85704609864,17,1995.9835111173045,1.37289067499064,103.875001549174,ROSYTH SCHOOL,16,884.5898611336424,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,2080.0,2888.0,785.0,1090.0,NS
729,75 BEDOK NTH RD,1.32791477933184,103.942144427101,16,1106.091651676606,1.33405659580859,103.934317528484,RED SWASTIKA SCHOOL,38,474.0749118686656,1.3271871345383557,103.94634646062272,TANAH MERAH MRT STATION,1073.0,1490.0,517.0,718.0,EW
730,30 NEW UPP CHANGI RD,1.32352678248226,103.936423896498,16,1194.04594113484,1.33405659580859,103.934317528484,RED SWASTIKA SCHOOL,35,717.609227773109,1.3239799688877467,103.92998449462056,BEDOK MRT STATION,991.0,1376.0,740.0,1028.0,EW
731,29 NEW UPP CHANGI RD,1.32395813360222,103.936341250384,16,1145.2115846225452,1.33405659580859,103.934317528484,RED SWASTIKA SCHOOL,35,706.6544577202696,1.3239799688877467,103.92998449462056,BEDOK MRT STATION,991.0,1376.0,740.0,1028.0,EW
732,28 NEW UPP CHANGI RD,1.32369451969703,103.934994919422,16,1154.668340902388,1.33405659580859,103.934317528484,RED SWASTIKA SCHOOL,35,557.8887636231269,1.3239799688877467,103.92998449462056,BEDOK MRT STATION,952.0,1322.0,598.0,831.0,EW
